0.73625 2.86 3.36 0.06 
0.73875 11.63 6.28 0.25 
0.74125 16.15 5.14 0.25 
0.74375 13.34 5.36 0.20 
0.74625 15.84 5.49 0.22 
0.74875 15.72 5.94 0.25
0.75125 17.73 6.28 0.28 
0.75375 16.55 6.74 0.28
0.75625 38.82 8.67 0.71
0.75875 23.17 7.64 0.69
0.76125 40.70 9.43 1.45
0.76375 38.12 9.77 1.19
0.76625 62.43 12.57 1.52
0.76875 91.37 13.84 1.36
0.77125 157.25 18.61 3.02
0.77375 218.35 22.42 3.81
0.77625 415.56 21.55 7.64
0.77875 828.58 27.72 12.36
0.78125 1405.30 31.05 19.20
0.78375 1534.34 33.91 21.67
0.78625 1084.16 30.73 14.85
0.78875 618.58 25.64 8.58
0.79125 399.32 22.40 5.70
0.79375 239.67 18.35 4.90
0.79625 184.05 16.88 5.21
0.79875 136.99 13.93 2.23
0.80125 122.17 13.21 1.88 
0.80375 72.57 10.83 1.14
0.80625 62.03 8.76 1.39
0.80875 45.17 7.05 1.59
0.81125 49.85 8.09 1.78
0.81375 41.86 7.36 1.49
0.81625 25.44 5.45 0.83
0.81875 29.98 6.48 0.59
0.82125 31.12 6.55 0.50
0.82375 27.15 6.33 0.68
0.82625 23.82 6.05 0.39
0.82875 29.20 6.16 0.70
0.83125 10.64 4.83 0.29
