#: table_doi: 10.17182/hepdata.155340.v1/t1
#: name: Table III: Cross section in energy range 0.62-1.05 GeV
#: description: Energy bin range ($\sqrt{s'}$), number of events after unfolding ($N_{\mathrm{unf}}$), corrected efficiency ($\varepsilon$), and cross section ($\sigma_{3\pi}$) for $e^{+}e^{-} \to \pi^{+} \pi^{-} \pi^{0}$ in energy range 0.62--1.05~GeV. The two uncertainties in the cross section are the statistical and systematic contributions. The statistical uncertainties for the unfolding and cross section are square roots of the diagonal components of the unfolding covariance matrix. The image shows Figure 23 in the PRD paper, and the points with error bars indicate the cross section in the table.
#: data_file: table_iii:_cross_section_in_energy_range_0.62-1.05_gev.yaml
#: keyword reactions: E+E- --> PI+ PI- PI0
#: keyword phrases: Exclusive | Cross section | E+ E- Scattering
#: keyword cmenergies: 0.62-1.05
#: keyword observables: SIG
$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,The number of events after unfolding ($N_{\mathrm{unf}}$),Statistical uncertainty +,Statistical uncertainty -
0.99375,0.9925,0.995,93,9,-9
0.9962500000000001,0.995,0.9975,99,9,-9
0.99875,0.9975,1.0,100,11,-11
1.00125,1.0,1.0025,133,12,-12
1.00375,1.0025,1.005,128,16,-16
1.00625,1.005,1.0075,174,14,-14
1.00875,1.0075,1.01,173,8,-8
1.01125,1.01,1.0125,262,25,-25
1.01375,1.0125,1.015,481,35,-35
1.0162499999999999,1.015,1.0175,1177,37,-37
1.01875,1.0175,1.02,2565,37,-37
1.02125,1.02,1.0225,1326,34,-34
1.02375,1.0225,1.025,407,30,-30
1.02625,1.025,1.0275,126,17,-17
1.02875,1.0275,1.03,53,15,-15
1.03125,1.03,1.0325,-3,9,-9
1.03375,1.0325,1.035,15,9,-9
1.03625,1.035,1.0375,1,6,-6
1.03875,1.0375,1.04,8,6,-6
1.04125,1.04,1.0425,5,7,-7
1.04375,1.0425,1.045,4,5,-5
1.0462500000000001,1.045,1.0475,6,4,-4
1.04875,1.0475,1.05,3,3,-3

$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,Signal efficiency ($\varepsilon$),Uncertainty +,Uncertainty -
0.63,0.62,0.64,9.16,0.15,-0.15
0.65,0.64,0.66,9.16,0.15,-0.15
0.67,0.66,0.68,9.16,0.15,-0.15
0.69,0.68,0.7,9.16,0.15,-0.15
0.7012499999999999,0.7,0.7025,8.52,0.14,-0.14
0.70375,0.7025,0.705,8.51,0.14,-0.14
0.70625,0.705,0.7075,8.51,0.14,-0.14
0.70875,0.7075,0.71,8.5,0.14,-0.14
0.7112499999999999,0.71,0.7125,8.5,0.14,-0.14
0.71375,0.7125,0.715,8.49,0.14,-0.14
0.71625,0.715,0.7175,8.49,0.14,-0.14
0.71875,0.7175,0.72,8.48,0.14,-0.14
0.72125,0.72,0.7225,8.48,0.14,-0.14
0.72375,0.7225,0.725,8.47,0.14,-0.14
0.7262500000000001,0.725,0.7275,8.46,0.14,-0.14
0.72875,0.7275,0.73,8.46,0.14,-0.14
0.73125,0.73,0.7325,8.45,0.14,-0.14
0.73375,0.7325,0.735,8.45,0.14,-0.14
0.7362500000000001,0.735,0.7375,8.44,0.14,-0.14
0.73875,0.7375,0.74,8.44,0.14,-0.14
0.74125,0.74,0.7425,8.43,0.14,-0.14
0.74375,0.7425,0.745,8.43,0.13,-0.13
0.7462500000000001,0.745,0.7475,8.42,0.13,-0.13
0.74875,0.7475,0.75,8.42,0.13,-0.13
0.75125,0.75,0.7525,8.41,0.13,-0.13
0.7537499999999999,0.7525,0.755,8.41,0.13,-0.13
0.75625,0.755,0.7575,8.4,0.13,-0.13
0.75875,0.7575,0.76,8.4,0.13,-0.13
0.76125,0.76,0.7625,8.39,0.13,-0.13
0.7637499999999999,0.7625,0.765,8.39,0.13,-0.13
0.76625,0.765,0.7675,8.38,0.13,-0.13
0.76875,0.7675,0.77,8.38,0.13,-0.13
0.77125,0.77,0.7725,8.37,0.13,-0.13
0.7737499999999999,0.7725,0.775,8.37,0.13,-0.13
0.77625,0.775,0.7775,8.36,0.13,-0.13
0.77875,0.7775,0.78,8.36,0.13,-0.13
0.78125,0.78,0.7825,8.35,0.13,-0.13
0.78375,0.7825,0.785,8.35,0.13,-0.13
0.78625,0.785,0.7875,8.34,0.13,-0.13
0.7887500000000001,0.7875,0.79,8.34,0.13,-0.13
0.79125,0.79,0.7925,8.33,0.13,-0.13
0.79375,0.7925,0.795,8.33,0.13,-0.13
0.79625,0.795,0.7975,8.32,0.13,-0.13
0.7987500000000001,0.7975,0.8,8.32,0.13,-0.13
0.80125,0.8,0.8025,8.31,0.13,-0.13
0.80375,0.8025,0.805,8.31,0.13,-0.13
0.80625,0.805,0.8075,8.3,0.13,-0.13
0.8087500000000001,0.8075,0.81,8.3,0.13,-0.13
0.81125,0.81,0.8125,8.29,0.13,-0.13
0.81375,0.8125,0.815,8.29,0.13,-0.13
0.8162499999999999,0.815,0.8175,8.28,0.13,-0.13
0.81875,0.8175,0.82,8.28,0.13,-0.13
0.82125,0.82,0.8225,8.28,0.13,-0.13
0.82375,0.8225,0.825,8.27,0.13,-0.13
0.8262499999999999,0.825,0.8275,8.27,0.13,-0.13
0.82875,0.8275,0.83,8.26,0.13,-0.13
0.83125,0.83,0.8325,8.26,0.13,-0.13
0.83375,0.8325,0.835,8.25,0.13,-0.13
0.8362499999999999,0.835,0.8375,8.25,0.13,-0.13
0.83875,0.8375,0.84,8.24,0.13,-0.13
0.84125,0.84,0.8425,8.24,0.13,-0.13
0.84375,0.8425,0.845,8.23,0.13,-0.13
0.84625,0.845,0.8475,8.23,0.13,-0.13
0.84875,0.8475,0.85,8.22,0.13,-0.13
0.8512500000000001,0.85,0.8525,8.22,0.13,-0.13
